id,unix,date,symbol,open,high,low,close,volto,volfrom
9928382,1607040000,2020-12-04 00:00:00,BTC/USD,19446.43,19546.46,18576.05,18675.01,16343.35650594,305212346.18199456
9928383,1606953600,2020-12-03 00:00:00,BTC/USD,19222.45,19625.64,18885.0,19448.64,14648.29683367,284889451.7311877
9928384,1606867200,2020-12-02 00:00:00,BTC/USD,18778.18,19340.0,18335.0,19225.63,16227.13637423,311976919.89048755
9928385,1606780800,2020-12-01 00:00:00,BTC/USD,19713.94,19915.14,18109.0,18782.97,30442.86543674,571807428.2123244
9928386,1606694400,2020-11-30 00:00:00,BTC/USD,18202.02,19873.23,18201.47,19713.94,27293.4791942,538062011.2257072
9928387,1606608000,2020-11-29 00:00:00,BTC/USD,17736.1,18359.0,17535.26,18202.04,8932.25029132,162585177.09261832
9928388,1606521600,2020-11-28 00:00:00,BTC/USD,17155.43,17933.25,16880.0,17739.85,13157.9519653,233420094.1716272
9928389,1606435200,2020-11-27 00:00:00,BTC/USD,17169.99,17475.0,16400.0,17153.95,23333.98429789,400269999.9467902
9928390,1606348800,2020-11-26 00:00:00,BTC/USD,18717.24,18915.48,16200.0,17170.0,48644.17078197,835220412.326425
9928391,1606262400,2020-11-25 00:00:00,BTC/USD,19172.9,19500.0,18502.0,18721.93,20485.39373121,383526107.4581524
9928392,1606176000,2020-11-24 00:00:00,BTC/USD,18384.82,19469.0,18052.02,19172.84,26623.09452709,510440331.6727723
9928393,1606089600,2020-11-23 00:00:00,BTC/USD,18437.18,18777.77,18001.0,18384.82,17655.66362172,324596197.66587025
9928394,1606003200,2020-11-22 00:00:00,BTC/USD,18721.21,18773.56,17610.77,18437.66,15423.83816127,284379483.9125214
9928395,1605916800,2020-11-21 00:00:00,BTC/USD,18677.84,18980.0,18350.0,18721.21,13604.27139959,254688421.76871827
9928396,1605830400,2020-11-20 00:00:00,BTC/USD,17821.92,18830.3,17764.76,18675.25,17901.931678,334323049.5695695
9928397,1605744000,2020-11-19 00:00:00,BTC/USD,17790.18,18193.29,17356.0,17821.58,17141.49267548,305488483.03548086
9928398,1605657600,2020-11-18 00:00:00,BTC/USD,17679.86,18488.0,17205.02,17782.91,32425.98660226,576628401.4091954
9928399,1605571200,2020-11-17 00:00:00,BTC/USD,16726.49,17880.0,16575.42,17679.36,25230.22403641,446054213.62034553
9928400,1605484800,2020-11-16 00:00:00,BTC/USD,15970.0,16892.0,15879.0,16726.64,13948.30524238,233308280.399403
9928401,1605398400,2020-11-15 00:00:00,BTC/USD,16082.01,16175.6,15796.09,15966.89,6250.07966791,99794334.5487555
9928402,1605312000,2020-11-14 00:00:00,BTC/USD,16339.56,16339.6,15708.24,16082.01,9205.916488,148049641.0191809
9928403,1605225600,2020-11-13 00:00:00,BTC/USD,16310.81,16491.92,15975.0,16339.56,14593.51518544,238451616.98340797
9928404,1605139200,2020-11-12 00:00:00,BTC/USD,15705.79,16370.89,15446.82,16310.81,22153.73849401,361345419.3654832
9928405,1605052800,2020-11-11 00:00:00,BTC/USD,15315.46,16000.0,15293.04,15705.79,15257.35722584,239628848.54402563
9928406,1604966400,2020-11-10 00:00:00,BTC/USD,15342.1,15481.06,15090.08,15315.03,13489.67510052,206594778.85471684
9928407,1604880000,2020-11-09 00:00:00,BTC/USD,15482.89,15856.9,14817.14,15342.25,21951.27612698,336781966.1591589
9928408,1604793600,2020-11-08 00:00:00,BTC/USD,14834.09,15666.0,14721.9,15482.9,11856.3281802,183570343.58121857
9928409,1604707200,2020-11-07 00:00:00,BTC/USD,15599.95,15779.24,14310.0,14834.09,23552.06912628,349373513.10545886
9928410,1604620800,2020-11-06 00:00:00,BTC/USD,15608.06,15977.67,15190.36,15599.95,25150.39252742,392344865.90812564
9928411,1604534400,2020-11-05 00:00:00,BTC/USD,14165.86,15775.0,14115.0,15608.21,31865.97472203,497370825.3161359
9928412,1604448000,2020-11-04 00:00:00,BTC/USD,14034.35,14273.6,13530.01,14161.48,16894.77786852,239255058.88948858
9928413,1604361600,2020-11-03 00:00:00,BTC/USD,13563.22,14081.45,13290.0,14035.8,13965.78812958,196021009.02915895
