id,unix,date,symbol,open,high,low,close,volto,volfrom
9928682,1607040000,2020-12-04 00:00:00,ETH/USD,616.46,620.56,566.0,568.06,195278.21471494,110929742.6509688
9928683,1606953600,2020-12-03 00:00:00,ETH/USD,597.03,624.57,586.11,616.65,168346.30401374,103810748.37007277
9928684,1606867200,2020-12-02 00:00:00,ETH/USD,585.87,604.96,575.08,597.35,136242.16440789,81384256.90905309
9928685,1606780800,2020-12-01 00:00:00,ETH/USD,617.0,636.53,563.01,586.03,373179.79775575,218694556.87880218
9928686,1606694400,2020-11-30 00:00:00,ETH/USD,576.9,617.0,571.11,617.0,313418.9868296,193379514.8738632
9928687,1606608000,2020-11-29 00:00:00,ETH/USD,537.97,577.55,531.0,576.76,139940.81576302,80712264.8994794
9928688,1606521600,2020-11-28 00:00:00,ETH/USD,519.04,548.83,505.01,538.11,166450.43752162,89568644.93475895
9928689,1606435200,2020-11-27 00:00:00,ETH/USD,520.35,531.41,493.51,519.07,199205.09175665,103401386.97812434
9928690,1606348800,2020-11-26 00:00:00,ETH/USD,569.19,577.0,480.08,520.34,614152.35686943,319568037.37343925
9928691,1606262400,2020-11-25 00:00:00,ETH/USD,605.45,606.49,554.0,568.79,255508.1788265,145330497.03472492
9928692,1606176000,2020-11-24 00:00:00,ETH/USD,609.26,623.22,587.25,605.45,387478.59472708,234598915.17751062
9928693,1606089600,2020-11-23 00:00:00,ETH/USD,560.78,611.43,550.0,609.26,444789.07944749,270992194.5441778
9928694,1606003200,2020-11-22 00:00:00,ETH/USD,553.06,581.8,511.16,560.82,403902.15612966,226516407.20063597
9928695,1605916800,2020-11-21 00:00:00,ETH/USD,510.6,554.28,502.82,553.07,287728.12781004,159133795.64789885
9928696,1605830400,2020-11-20 00:00:00,ETH/USD,471.92,514.73,471.07,510.43,296509.77452923,151347484.21295488
9928697,1605744000,2020-11-19 00:00:00,ETH/USD,479.0,480.99,465.18,471.92,131594.48266392,62102068.25875713
9928698,1605657600,2020-11-18 00:00:00,ETH/USD,482.75,495.68,456.5,478.96,296492.09128068,142007852.03979447
9928699,1605571200,2020-11-17 00:00:00,ETH/USD,460.87,485.0,460.05,482.68,196041.73514216,94625424.7184178
9928700,1605484800,2020-11-16 00:00:00,ETH/USD,448.6,466.21,445.91,460.85,112980.26100088,52066953.28225555
9928701,1605398400,2020-11-15 00:00:00,ETH/USD,461.21,463.24,439.77,448.58,89217.75628557,40021301.11458099
9928702,1605312000,2020-11-14 00:00:00,ETH/USD,477.15,478.0,452.17,461.16,114594.78378366,52846530.489672646
9928703,1605225600,2020-11-13 00:00:00,ETH/USD,462.91,478.31,457.64,477.14,134796.05936368,64316591.764786266
9928704,1605139200,2020-11-12 00:00:00,ETH/USD,463.75,470.56,452.07,462.98,180116.97555794,83390557.34381506
9928705,1605052800,2020-11-11 00:00:00,ETH/USD,450.89,476.8,449.95,463.79,195694.06578762,90760950.77164029
9928706,1604966400,2020-11-10 00:00:00,ETH/USD,444.84,455.51,439.36,450.89,132863.6764641,59906903.08089804
9928707,1604880000,2020-11-09 00:00:00,ETH/USD,454.61,460.0,433.83,444.81,171387.94473541,76235071.69775772
9928708,1604793600,2020-11-08 00:00:00,ETH/USD,435.59,460.57,432.65,454.61,111199.12192081,50552232.81641943
9928709,1604707200,2020-11-07 00:00:00,ETH/USD,456.69,468.98,423.0,435.73,297289.78479728,129538077.9297188
9928710,1604620800,2020-11-06 00:00:00,ETH/USD,417.29,458.92,415.57,456.65,357787.28499666,163383563.69372478
9928711,1604534400,2020-11-05 00:00:00,ETH/USD,403.19,421.25,396.43,417.17,248936.20591844,103848717.02299562
9928712,1604448000,2020-11-04 00:00:00,ETH/USD,388.33,409.0,376.64,403.18,214751.18285099,86583381.90186216
9928713,1604361600,2020-11-03 00:00:00,ETH/USD,383.33,390.35,370.5,388.32,105339.73002582,40905523.96362642
9928714,1604275200,2020-11-02 00:00:00,ETH/USD,396.91,404.57,378.36,383.33,128275.51088227,49171851.586500555
9928715,1604188800,2020-11-01 00:00:00,ETH/USD,386.72,397.65,385.09,396.91,49385.47176829,19601587.599551987
9928716,1604102400,2020-10-31 00:00:00,ETH/USD,382.77,394.0,380.76,386.74,76755.21020838,29684309.99598888
9928717,1604016000,2020-10-30 00:00:00,ETH/USD,387.49,392.16,373.4,382.77,107710.17276225,41228222.828206435
9928718,1603929600,2020-10-29 00:00:00,ETH/USD,388.59,394.0,380.75,387.6,104421.73544657,40473864.659090534
9928719,1603843200,2020-10-28 00:00:00,ETH/USD,404.56,409.52,380.5,388.63,128255.13819075,49843794.35507117
9928720,1603756800,2020-10-27 00:00:00,ETH/USD,393.07,411.77,390.35,404.55,108903.27558482,44056820.13783893
9928721,1603670400,2020-10-26 00:00:00,ETH/USD,406.32,411.47,382.21,393.12,129676.34185848,50978363.511405654
9928722,1603584000,2020-10-25 00:00:00,ETH/USD,412.58,417.86,402.92,406.46,53762.84086586,21852444.298337456
9928723,1603497600,2020-10-24 00:00:00,ETH/USD,409.55,417.0,407.4,412.58,68349.19907782,28199512.55552697
9928724,1603411200,2020-10-23 00:00:00,ETH/USD,414.64,419.48,401.51,409.52,124844.52058112,51126328.06838026
9928725,1603324800,2020-10-22 00:00:00,ETH/USD,391.36,421.47,391.33,414.7,182333.508395,75613705.9314065
9928726,1603238400,2020-10-21 00:00:00,ETH/USD,368.81,402.62,368.06,391.53,249849.80700571,97823694.93694563
9928727,1603152000,2020-10-20 00:00:00,ETH/USD,379.53,380.9,363.01,368.81,84940.26982272,31326820.913317364
9928728,1603065600,2020-10-19 00:00:00,ETH/USD,378.56,384.69,372.89,379.36,69957.45766229,26539061.138766337
9928729,1602979200,2020-10-18 00:00:00,ETH/USD,368.48,378.69,367.31,378.58,42509.2101992,16093136.797213137
