id,unix,date,symbol,open,high,low,close,volto,volfrom
9930482,1607040000,2020-12-04 00:00:00,LINK/USD,13.97889,14.0429,12.50003,12.76314,2258797.54,28829349.2346756
9930483,1606953600,2020-12-03 00:00:00,LINK/USD,13.97996,14.23821,13.66478,13.9959,1412376.54,19767480.816186
9930484,1606867200,2020-12-02 00:00:00,LINK/USD,13.36366,14.1574,13.07002,13.98656,1756547.96,24568063.4354176
9930485,1606780800,2020-12-01 00:00:00,LINK/USD,14.25473,14.91,13.01538,13.35351,3762759.98,50246053.0205298
9930486,1606694400,2020-11-30 00:00:00,LINK/USD,13.4,14.41996,13.4,14.26859,3513240.51,50128988.4085809
9930487,1606608000,2020-11-29 00:00:00,LINK/USD,13.10081,13.47214,12.85917,13.39454,1688442.36,22615908.7287144
9930488,1606521600,2020-11-28 00:00:00,LINK/USD,12.49626,13.432,12.36006,13.10024,3208204.11,42028243.8099864
9930489,1606435200,2020-11-27 00:00:00,LINK/USD,12.6147,12.95,12.027,12.49519,3820650.8,47739757.66965199
9930490,1606348800,2020-11-26 00:00:00,LINK/USD,14.22001,14.47607,11.2898,12.62545,9404874.69,118740775.1548605
9930491,1606262400,2020-11-25 00:00:00,LINK/USD,15.65962,15.86708,13.80518,14.22,3651952.73,51930767.8206
9930492,1606176000,2020-11-24 00:00:00,LINK/USD,15.28175,16.42016,15.00001,15.66945,6506373.4,101951292.67263
9930493,1606089600,2020-11-23 00:00:00,LINK/USD,14.52449,15.44998,14.25,15.28505,3538741.95,54089847.6428475
9930494,1606003200,2020-11-22 00:00:00,LINK/USD,15.46405,15.72,13.85,14.52029,4101337.92,59552615.9863968
9930495,1605916800,2020-11-21 00:00:00,LINK/USD,14.10059,15.5,13.71294,15.46892,4578555.36,70825306.57941121
9930496,1605830400,2020-11-20 00:00:00,LINK/USD,13.62222,14.48302,13.45638,14.1144,2950617.1,41646189.99624
9930497,1605744000,2020-11-19 00:00:00,LINK/USD,13.58264,14.0,13.0326,13.63211,2751397.28,37507350.3746608
9930498,1605657600,2020-11-18 00:00:00,LINK/USD,13.4,14.27396,12.632,13.58127,6501348.04,88296563.0952108
9930499,1605571200,2020-11-17 00:00:00,LINK/USD,12.62063,13.41667,12.53613,13.4,3112749.32,41710840.888
9930500,1605484800,2020-11-16 00:00:00,LINK/USD,12.13099,12.81477,12.00111,12.62724,1924666.94,24303231.3714456
9930501,1605398400,2020-11-15 00:00:00,LINK/USD,12.56938,12.65508,11.83003,12.13003,1552123.84,18827308.742915202
9930502,1605312000,2020-11-14 00:00:00,LINK/USD,12.88534,12.94654,12.34428,12.55617,1331728.64,16721411.197708799
9930503,1605225600,2020-11-13 00:00:00,LINK/USD,12.42045,13.03692,12.32582,12.8908,2198342.34,28338391.436472
9930504,1605139200,2020-11-12 00:00:00,LINK/USD,12.77099,13.1,12.23871,12.42429,2297574.04,28545726.169431597
9930505,1605052800,2020-11-11 00:00:00,LINK/USD,13.01909,13.44159,12.74123,12.77217,2717958.55,34714228.65355349
9930506,1604966400,2020-11-10 00:00:00,LINK/USD,12.53625,13.29531,12.327,13.02569,3477206.57,45293014.8467833
9930507,1604880000,2020-11-09 00:00:00,LINK/USD,12.70008,13.04778,12.02,12.52851,3133235.97,39254778.182504706
9930508,1604793600,2020-11-08 00:00:00,LINK/USD,11.78373,13.1,11.5,12.71617,3495240.27,44446069.4641659
9930509,1604707200,2020-11-07 00:00:00,LINK/USD,12.19186,13.61894,11.4952,11.79974,8552392.39,100916006.5799786
9930510,1604620800,2020-11-06 00:00:00,LINK/USD,11.00924,12.3,10.94985,12.19186,3275987.59,39940382.0590174
9930511,1604534400,2020-11-05 00:00:00,LINK/USD,10.50013,11.29421,10.08339,11.00472,3211828.29,35345271.019528806
9930512,1604448000,2020-11-04 00:00:00,LINK/USD,10.39407,10.68166,9.76,10.49168,2834677.98,29740534.2692064
9930513,1604361600,2020-11-03 00:00:00,LINK/USD,10.77409,10.77475,10.05,10.3925,2906587.75,30206713.191875
9930514,1604275200,2020-11-02 00:00:00,LINK/USD,11.5889,11.69159,10.71576,10.77409,2120317.03,22844486.509752695
9930515,1604188800,2020-11-01 00:00:00,LINK/USD,11.22231,11.59998,11.03864,11.57397,848599.07,9821660.178207899
9930516,1604102400,2020-10-31 00:00:00,LINK/USD,11.09075,11.39679,10.90742,11.24327,1113052.79,12514353.0422233
9930517,1604016000,2020-10-30 00:00:00,LINK/USD,11.2654,11.48686,10.75,11.09075,2234363.09,24780762.4404175
9930518,1603929600,2020-10-29 00:00:00,LINK/USD,11.46,11.81,11.00602,11.27365,2207917.97,24891294.422490504
9930519,1603843200,2020-10-28 00:00:00,LINK/USD,11.96069,12.24,11.10759,11.46,2359831.57,27043669.7922
9930520,1603756800,2020-10-27 00:00:00,LINK/USD,11.72246,12.488,11.51,11.9549,2417828.38,28904896.500062
9930521,1603670400,2020-10-26 00:00:00,LINK/USD,12.1611,12.47037,11.2752,11.74203,2790375.32,32764670.718699597
9930522,1603584000,2020-10-25 00:00:00,LINK/USD,12.714,12.87066,11.9,12.16347,1937292.81,23564202.9756507
9930523,1603497600,2020-10-24 00:00:00,LINK/USD,12.17471,12.97,12.0,12.72339,2110507.46,26852809.5114894
9930524,1603411200,2020-10-23 00:00:00,LINK/USD,11.96693,12.2697,11.573,12.17661,2666294.01,32466422.305106096
9930525,1603324800,2020-10-22 00:00:00,LINK/USD,10.81,12.45,10.72186,11.98018,3696039.9,44279223.289182
9930526,1603238400,2020-10-21 00:00:00,LINK/USD,9.86919,11.15016,9.80524,10.81,3032767.88,32784220.7828
9930527,1603152000,2020-10-20 00:00:00,LINK/USD,10.91092,10.93378,9.78552,9.87542,1966986.16,19424814.4641872
9930528,1603065600,2020-10-19 00:00:00,LINK/USD,10.97,11.23499,10.6613,10.91092,1261918.49,13768691.690910801
9930529,1602979200,2020-10-18 00:00:00,LINK/USD,10.63865,10.98943,10.60063,10.94729,1003970.25,10990753.4781225
9930530,1602892800,2020-10-17 00:00:00,LINK/USD,10.5941,10.72998,10.425,10.6378,721148.58,7671434.364324
9930531,1602806400,2020-10-16 00:00:00,LINK/USD,10.74149,10.9,10.26392,10.59021,1419947.95,15037546.9795695
9930532,1602720000,2020-10-15 00:00:00,LINK/USD,10.90052,10.9305,10.47557,10.75079,1518158.97,16321408.2730863
9930533,1602633600,2020-10-14 00:00:00,LINK/USD,11.01997,11.35,10.61877,10.90942,2078685.37,22677251.749185402
9930534,1602547200,2020-10-13 00:00:00,LINK/USD,11.43107,11.59168,10.57,11.01606,2242289.79,24701198.8640274
9930535,1602460800,2020-10-12 00:00:00,LINK/USD,10.85001,11.81997,10.69158,11.4357,3541296.25,40497201.526125
9930536,1602374400,2020-10-11 00:00:00,LINK/USD,10.52,11.06977,10.05784,10.85521,2315045.84,25130308.752826396
9930537,1602288000,2020-10-10 00:00:00,LINK/USD,10.4,10.94496,10.32115,10.52,2481578.7,26106207.924000002
9930538,1602201600,2020-10-09 00:00:00,LINK/USD,9.55538,10.52537,9.37133,10.40312,3187196.56,33156788.2772672
9930539,1602115200,2020-10-08 00:00:00,LINK/USD,8.97894,9.69,8.43282,9.56629,2651928.16,25369113.837726403
9930540,1602028800,2020-10-07 00:00:00,LINK/USD,8.77338,9.04167,8.35,8.97632,2393087.11,21481115.6872352
9930541,1601942400,2020-10-06 00:00:00,LINK/USD,9.61564,9.66,8.56,8.77317,2517659.28,22087852.865517598
9930542,1601856000,2020-10-05 00:00:00,LINK/USD,9.39301,9.73008,9.27298,9.62573,1601129.09,15412036.315485703
9930543,1601769600,2020-10-04 00:00:00,LINK/USD,9.27192,9.46,9.11777,9.3942,1043749.66,9805193.055972
9930544,1601683200,2020-10-03 00:00:00,LINK/USD,9.22,9.55249,9.10929,9.27283,1074232.22,9961172.756582601
9930545,1601596800,2020-10-02 00:00:00,LINK/USD,9.63282,9.83966,8.81,9.219,3532277.25,32564063.967749998
9930546,1601510400,2020-10-01 00:00:00,LINK/USD,9.88585,10.42167,9.3,9.63898,2829540.98,27273888.9154004
9930547,1601424000,2020-09-30 00:00:00,LINK/USD,10.14212,10.22449,9.57,9.89,1725934.6,17069493.194000002
9930548,1601337600,2020-09-29 00:00:00,LINK/USD,10.27697,10.37737,9.40473,10.14212,3178628.13,32238027.9298356
9930549,1601251200,2020-09-28 00:00:00,LINK/USD,10.81,11.08,10.15117,10.27198,2536196.8,26051762.805663995
9930550,1601164800,2020-09-27 00:00:00,LINK/USD,10.31961,10.99986,9.90197,10.79004,2708953.51,29229716.731040396
9930551,1601078400,2020-09-26 00:00:00,LINK/USD,10.74014,11.09,9.97,10.31709,3301766.65,34064623.6870485
9930552,1600992000,2020-09-25 00:00:00,LINK/USD,9.87727,11.23,9.36505,10.73843,6324215.75,67912148.13627249
9930553,1600905600,2020-09-24 00:00:00,LINK/USD,7.641,10.43,7.47795,9.87988,8493218.65,83911981.075762
9930554,1600819200,2020-09-23 00:00:00,LINK/USD,8.74941,8.8,7.312,7.64053,6342739.05,48461887.993696496
9930555,1600732800,2020-09-22 00:00:00,LINK/USD,8.71643,9.08292,8.55,8.74959,2633192.18,23039351.9662062
9930556,1600646400,2020-09-21 00:00:00,LINK/USD,9.74212,9.91944,8.53828,8.70935,7006664.83,61023496.337160505
9930557,1600560000,2020-09-20 00:00:00,LINK/USD,10.12137,10.63525,9.5,9.73776,3078130.66,29974097.615721602
9930558,1600473600,2020-09-19 00:00:00,LINK/USD,10.08977,10.49995,9.84201,10.12334,2385596.76,24150207.1043784
9930559,1600387200,2020-09-18 00:00:00,LINK/USD,11.00626,11.13996,9.76618,10.08965,4482401.49,45225862.193578504
9930560,1600300800,2020-09-17 00:00:00,LINK/USD,10.7324,11.7,10.50172,11.00975,3498616.67,38518894.8825325
9930561,1600214400,2020-09-16 00:00:00,LINK/USD,10.93561,11.29966,10.4708,10.73319,3542946.91,38027122.344942905
9930562,1600128000,2020-09-15 00:00:00,LINK/USD,12.13,12.24096,10.70491,10.94929,3012040.36,32979703.3933444
9930563,1600041600,2020-09-14 00:00:00,LINK/USD,12.07466,12.38909,11.63001,12.13,2070743.7,25118121.081
9930564,1599955200,2020-09-13 00:00:00,LINK/USD,12.73324,13.25,11.75312,12.07006,2334678.29,28179707.0409974
9930565,1599868800,2020-09-12 00:00:00,LINK/USD,12.44,12.75,12.091,12.72281,1405237.1,17878564.628251
9930566,1599782400,2020-09-11 00:00:00,LINK/USD,12.50864,12.69268,12.01076,12.44007,2251292.58,28006237.285680603
9930567,1599696000,2020-09-10 00:00:00,LINK/USD,12.33233,13.28944,12.1555,12.50359,3820370.52,47768346.63016681
9930568,1599609600,2020-09-09 00:00:00,LINK/USD,11.74417,12.66428,11.43004,12.3383,2668385.72,32923343.529076003
9930569,1599523200,2020-09-08 00:00:00,LINK/USD,12.49907,12.78648,11.07601,11.73339,3848511.33,45156084.3543087
9930570,1599436800,2020-09-07 00:00:00,LINK/USD,12.81677,13.16,11.1276,12.49471,5726364.88,71549268.5297848
9930571,1599350400,2020-09-06 00:00:00,LINK/USD,10.60719,13.4,9.7555,12.81,7198316.3,92210431.803
9930572,1599264000,2020-09-05 00:00:00,LINK/USD,12.44729,12.75,9.2232,10.61184,9543721.99,101276450.76236162
9930573,1599177600,2020-09-04 00:00:00,LINK/USD,12.01169,12.96502,11.04705,12.44729,5733025.0,71360624.75225
9930574,1599091200,2020-09-03 00:00:00,LINK/USD,14.80982,15.0,11.03,12.07681,6401677.67,77311844.9018327
9930575,1599004800,2020-09-02 00:00:00,LINK/USD,16.09042,16.35,14.07496,14.7792,3233469.52,47788092.729984
9930576,1598918400,2020-09-01 00:00:00,LINK/USD,15.59016,16.5,15.13,16.09042,2915543.11,46912313.168006204
9930577,1598832000,2020-08-31 00:00:00,LINK/USD,16.47177,16.98,15.5,15.58995,2460350.94,38356748.137053
9930578,1598745600,2020-08-30 00:00:00,LINK/USD,16.36365,17.74,16.31023,16.47496,3613567.59,59533381.50254639
9930579,1598659200,2020-08-29 00:00:00,LINK/USD,15.11716,17.04999,14.96,16.37,4247937.15,69538731.1455
9930580,1598572800,2020-08-28 00:00:00,LINK/USD,14.52574,15.5,14.21656,15.11729,2277244.5,34425765.507405
9930581,1598486400,2020-08-27 00:00:00,LINK/USD,15.22809,15.52666,14.0,14.52804,3094849.93,44962103.57703721
9930582,1598400000,2020-08-26 00:00:00,LINK/USD,14.11688,15.68695,14.06356,15.20469,4109818.73,62488519.74584369
