https://www.CryptoDataDownload.com
id,unix,date,symbol,open,high,low,close,volto,volfrom
9929282,1607040000,2020-12-04 00:00:00,LTC/USD,89.04,89.9,78.01,79.7,418545.5447245,33358079.91454265
9929283,1606953600,2020-12-03 00:00:00,LTC/USD,88.96,91.35,85.54,89.03,419650.38368676,37361473.65963224
9929284,1606867200,2020-12-02 00:00:00,LTC/USD,85.18,90.63,82.79,88.99,495212.02530189,44068918.131615184
9929285,1606780800,2020-12-01 00:00:00,LTC/USD,87.69,93.0,79.84,85.17,1155289.79175242,98396031.5635536
9929286,1606694400,2020-11-30 00:00:00,LTC/USD,79.01,88.53,76.75,87.66,706120.28824358,61898504.46743222
9929287,1606608000,2020-11-29 00:00:00,LTC/USD,72.75,81.21,71.64,79.0,466057.04881118,36818506.85608322
9929288,1606521600,2020-11-28 00:00:00,LTC/USD,69.24,75.0,68.38,72.79,441134.21192161,32110159.285773993
9929289,1606435200,2020-11-27 00:00:00,LTC/USD,71.12,73.58,65.28,69.2,532935.79664142,36879157.12758627
9929290,1606348800,2020-11-26 00:00:00,LTC/USD,81.7,83.26,64.3,71.11,988347.77884566,70281410.55371489
9929291,1606262400,2020-11-25 00:00:00,LTC/USD,89.35,90.74,77.95,81.75,493458.15495534,40340204.167599045
9929292,1606176000,2020-11-24 00:00:00,LTC/USD,89.13,94.05,85.84,89.34,837367.93829356,74810451.60714665
9929293,1606089600,2020-11-23 00:00:00,LTC/USD,82.95,90.98,80.8,89.18,720297.63787624,64236143.34580308
9929294,1606003200,2020-11-22 00:00:00,LTC/USD,87.23,88.0,78.0,82.96,618485.43421601,51309551.62256019
9929295,1605916800,2020-11-21 00:00:00,LTC/USD,82.65,88.56,80.54,87.13,776409.15818262,67648529.95245168
9929296,1605830400,2020-11-20 00:00:00,LTC/USD,81.61,85.92,80.17,82.64,627670.97557165,51870729.42124116
9929297,1605744000,2020-11-19 00:00:00,LTC/USD,73.49,83.5,71.53,81.62,812714.2798768,66333739.52354442
