id,unix,date,symbol,open,high,low,close,volto,volfrom
9928982,1607040000,2020-12-04 00:00:00,XRP/USD,0.6308,0.635,0.5422,0.5596,268964414.216844,150512486.19574592
9928983,1606953600,2020-12-03 00:00:00,XRP/USD,0.6304,0.643,0.6151,0.6311,110183501.737141,69536807.94630969
9928984,1606867200,2020-12-02 00:00:00,XRP/USD,0.6115,0.637,0.5935,0.6304,205843568.248652,129763785.42395023
9928985,1606780800,2020-12-01 00:00:00,XRP/USD,0.6649,0.6815,0.5758,0.6116,297515607.490377,181960545.5411146
9928986,1606694400,2020-11-30 00:00:00,XRP/USD,0.606,0.68,0.6,0.6646,322207823.05599,214139319.20301092
9928987,1606608000,2020-11-29 00:00:00,XRP/USD,0.6269,0.6374,0.5831,0.6058,225560765.434115,136644711.69998688
9928988,1606521600,2020-11-28 00:00:00,XRP/USD,0.5629,0.65,0.5395,0.6269,391286506.802744,245297511.1146402
9928989,1606435200,2020-11-27 00:00:00,XRP/USD,0.5375,0.5884,0.503,0.5629,429537822.735871,241786840.41802177
9928990,1606348800,2020-11-26 00:00:00,XRP/USD,0.6303,0.6523,0.4555,0.5375,895225644.630739,481183783.9890222
9928991,1606262400,2020-11-25 00:00:00,XRP/USD,0.6945,0.7241,0.58,0.6302,637423242.44825,401704127.3908872
9928992,1606176000,2020-11-24 00:00:00,XRP/USD,0.6186,0.921,0.5655,0.6943,1073261795.07589,745165664.3211905
9928993,1606089600,2020-11-23 00:00:00,XRP/USD,0.4467,0.65,0.4313,0.6178,728257390.897996,449917416.0967819
9928994,1606003200,2020-11-22 00:00:00,XRP/USD,0.4636,0.4984,0.4031,0.4466,642864890.743399,287103460.206002
9928995,1605916800,2020-11-21 00:00:00,XRP/USD,0.3304,0.47,0.3297,0.4633,605236302.721006,280405979.0506421
9928996,1605830400,2020-11-20 00:00:00,XRP/USD,0.304,0.3314,0.2972,0.3304,159736355.357426,52776891.81009355
9928997,1605744000,2020-11-19 00:00:00,XRP/USD,0.2936,0.3069,0.2842,0.3042,99594761.471491,30296726.43962756
9928998,1605657600,2020-11-18 00:00:00,XRP/USD,0.3027,0.3086,0.2814,0.2936,140309190.083787,41194778.208599865
9928999,1605571200,2020-11-17 00:00:00,XRP/USD,0.2883,0.3054,0.2874,0.3029,149097537.925742,45161644.23770725
9929000,1605484800,2020-11-16 00:00:00,XRP/USD,0.2695,0.29,0.2677,0.2883,82843693.123895,23883836.72761893
9929001,1605398400,2020-11-15 00:00:00,XRP/USD,0.2686,0.2772,0.2643,0.2698,61366082.799215,16556569.139228204
9929002,1605312000,2020-11-14 00:00:00,XRP/USD,0.2664,0.2779,0.2612,0.2686,103453951.154931,27787731.280214466
9929003,1605225600,2020-11-13 00:00:00,XRP/USD,0.255,0.2663,0.2537,0.2662,59071340.372924,15724790.807272369
9929004,1605139200,2020-11-12 00:00:00,XRP/USD,0.2561,0.2584,0.2527,0.255,40124653.682005,10231786.688911276
9929005,1605052800,2020-11-11 00:00:00,XRP/USD,0.2542,0.2602,0.2526,0.2562,41058150.071684,10519098.04836544
9929006,1604966400,2020-11-10 00:00:00,XRP/USD,0.2509,0.2647,0.2482,0.2542,55050136.384526,13993744.668946508
9929007,1604880000,2020-11-09 00:00:00,XRP/USD,0.2538,0.2562,0.2457,0.2508,47896106.508178,12012343.512251044
9929008,1604793600,2020-11-08 00:00:00,XRP/USD,0.2492,0.2572,0.2477,0.2539,35210650.83655,8939984.247400045
9929009,1604707200,2020-11-07 00:00:00,XRP/USD,0.2592,0.2678,0.2441,0.2495,80648204.65429,20121727.061245356
9929010,1604620800,2020-11-06 00:00:00,XRP/USD,0.2461,0.2617,0.2455,0.2592,82847132.34369,21473976.703484446
9929011,1604534400,2020-11-05 00:00:00,XRP/USD,0.238,0.2477,0.2373,0.2461,58897702.457133,14494724.574700432
9929012,1604448000,2020-11-04 00:00:00,XRP/USD,0.2398,0.2407,0.2325,0.2378,40040606.376137,9521656.19624538
9929013,1604361600,2020-11-03 00:00:00,XRP/USD,0.2355,0.2442,0.2283,0.2398,51631271.052267,12381178.798333628
9929014,1604275200,2020-11-02 00:00:00,XRP/USD,0.2401,0.2451,0.2332,0.2354,30857070.545958,7263754.406518513
9929015,1604188800,2020-11-01 00:00:00,XRP/USD,0.24,0.2415,0.2369,0.2401,18173275.895806,4363403.54258302
9929016,1604102400,2020-10-31 00:00:00,XRP/USD,0.2395,0.2438,0.2377,0.24,31306984.596429,7513676.30314296
